,微博正文
3219,下班发现伊丽莎白女王去世了忽然感觉好失落呀，很多曾经鲜活的陪着我们度过童年的人物都逐渐定格在教科书上，定格在某一天，就感觉时间过得好快，自己也不再年轻了。上一次还是08年的时候得知迈克尔杰克逊去世，心里也很失落。
3436,伊丽莎白去世了，对于她的印象是每年圣诞节，高中英语老师会组织大家看圣诞祝福，美好的回忆
5209,彭布罗克威尔士柯基的全球代言人伊丽莎白女王逝世，相信她曾经养的很多小短腿一直在天堂等着她，会继续的陪伴她吧！其实视频里的每个时间节点里的柯基样式，也是柯基这些年犬种样式的发展史，所有记录女王的镜头也无意间记录了柯基样式演变的过程，非常的珍贵！L乐上柯基Toby的微博视频
579,讲真。。我觉得单身者嫖娼没有伤害到任何人。。。李易峰到底得罪哪位大佬了。。
328,#李易峰墨镜#大家别蹲了他一个doi都带墨镜的人怎么可能会录视频那些视频是他的可能性太小了
4998,#伊丽莎白女王去世#了
2059,李易峰这就是灌篮妈呀居然找到资源了！！！啊啊啊有没有一起来看的～～～
6347,#老师地震时轮流背学生撤离#老师们辛苦了
7642,#外交部回应佩洛西窜访中国台湾地区#中国军人一定要平安！！！！
2938,李易峰谁有瓜发我
8464,#外交部回应佩洛西窜访中国台湾地区#美国人就是这样的，没什么意外。该好好教育的，是摇尾巴的舔狗。现在陪你玩玩不过是为了面子，利弊的尺，相信国家看得清清楚楚真真切切。嘴边的肉，不用急着吃，猴急猴急的，会烫嘴。
6623,躺在床上总觉得在地震
6099,#泸定地震#要平平安安啊
2275,#如何看待李易峰此前发声明#李易峰嫖娼被拘，多品牌宣布：终止合作！以身试法，必然凉凉！L电竞永不停歇的微博视频
1800,可能李易峰在这之后会变成一个普通人，但是我记得之前在他的采访中他说过，他现在的钱已经赚够了，够他一辈子花了，所以说他有可能出来之后继续pc，希望警察叔叔多关注关注他，或者不要放出来了让他还享受之前的生活，这种人真的不配
3489,伊丽莎白·韦德·菲利普皇家婚礼（1947）L上帝爱子的微博视频
2454,#明星的打脸声明#这波张小寒赢麻了真的…知名度已经打响了，从杨紫的蛋糕再到李易峰的嫖娼，啧啧啧~感觉以后明星的声明如同废纸真的是
1243,#律师谈多次嫖娼处罚#根据《治安管理处罚法》第六十六条，卖淫、嫖娼的，处十日以上十五日以下拘留，可以并处五千元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。#李易峰墨镜#李易峰好爱带墨镜，doi带墨镜选妃和看动画片也要墨镜…
1979,#北京警方通报李易峰多次嫖娼#男人的jb要是有他们的嘴那么硬就好了???♀?
8411,#外交部回应佩洛西窜访中国台湾地区#能卧薪尝胆的才是英雄逞一时之快顾黎民不顾的只是赌徒
152,#李易峰墨镜#他宁愿出钱也不想伤害女粉丝，他有什么错？
5728,今年戈尔巴乔夫、伊丽莎白都走了，上一个时代的代表人物就剩下基辛格了吧，不知道他能不能活过今年。其实我们这个时代，本质上是冷战时期的余韵。如今冷战时期确立的地缘政治也被破坏的七七八八了，冷战时期代表人物都离开人世了。目前还活着的也就基辛格，这老头现在还活着，不过也90好几了，也不知道他能不能活过今年。不管怎么样，世界历史要揭开新的一页。
4109,【#王冠或因英女王去世暂停拍摄#】当地时间9月8日，英国女王伊丽莎白二世去世，终年96岁。据外媒，热门剧集《王冠》编剧皮特·摩根表示，“《王冠》是给她的一封情书。我现在没有什么要补充的，只有沉默和尊重。希望出于尊重剧集会暂停拍摄。”曾在电影《女王》中饰演伊丽莎白的海伦·米伦也发文悼念，“我们哀悼一个不论是否头戴王冠，都堪称‘贵族典范’的女人。”
3549,安全团队：BNBChain上Elizabeth代币存在诈骗风险据BeosinEagleEye平台监测显示，Elizabeth代币（0x9dC18F8a7BbD6d45088204E214B079428281753d）存在诈骗风险。Beosin安全团队分析发现Elizabeth代币借伊丽莎白女王事件热度进行发币，而在代币合约的transfer函数中设置后门：普通地址收到转账之后，收款地址就会给0xf6eB267701A5d89e2F48f66A457084cbe88167f2这个地址最大授权值。该代币在PancakePair中流动性代币数量只占了流通量的8‰，且项目方手里有大量的Token，有随时rugpull或慢慢掏空池子的风险。Beosin安全团队将持续跟踪。
6257,是我睡懵了么为啥我感觉也地震了呢感觉我的床晃悠好几下…………大约5.28分时候搜了搜新闻，我的IP地址好像并没有
5484,#bruxellons#po个法一粒沙2022-09-07末场谢幕。其实台上最后很多人，全部演员+主创+乐队，毕竟末场。但拍摄的时候大家还没来得及上台。一个pre一返。L荒谬时代没有正确的生活的微博视频
3384,1986年十月，伊丽莎白女王和菲利普亲王来中国访问，他们兴奋的登上长城，从照片中就可以看出他们欢喜的表情。这一切都成为了历史！
6232,#泸定地震愿平安#我真的好喜欢四川
8250,#台媒称警方证实佩洛西班机22时降落#现在的重点已经从收复台湾变成了击落佩洛西的飞机。重点是这个吗？到底是谁在模糊视线？击落佩洛西的飞机，然后有多少可能性会导致事情向不可控制的方向发展？这是最佳的选项吗？失望到底是因为面子，还是因为你觉得你的想法才是正确的，而智囊团没有听从？
5858,【#四川幼儿园小朋友地震中有序撤离#】今天12时52分，四川甘孜州泸定县发生6.8级地震。宜宾一幼儿园的监控画面显示：地震发生时孩子们正在午睡，两幼师瞬间起身，把还在床上的孩子抱起，冷静组织小朋友撤离。L央视新闻的微博视频
5667,#伊丽莎白#这尼玛，我竟无法反驳！
2382,孽力回馈虽迟但到哈，李易峰与其团队早年对别家饭的见现在回馈到了自己身上，你猜你们造的孽多久会回馈到你担身上？
5217,当地时间9月8日，英国女王伊丽莎白二世在苏格兰巴尔莫勒尔城堡去世，享年96岁，英国女王的离世意味着一个时代的结束，也是英国国运变化的征兆，日不落帝国已经日薄西山日渐式微矣，苏格兰独立？英联邦解体？君主立宪制终结？“谓予不信请罄其说”。1952年，英国王乔治六世逝世，作为他的长女伊丽莎白二世被宣布登基继位，1953年6月2日，女王的加冕典礼在伦敦西敏寺举行，自此开始了她长达七十载的君主生涯。女王的全称是“托上帝洪恩，大不列颠及北爱尔兰联合王国以及其他领土和属地的女王、英联邦元首、基督教的保护者伊丽莎白二世”。
6031,#泸定地震46人遇难#天啊…希望大家都能平平安安，不要再有人员伤亡了???
8297,#外交部回应佩洛西窜访中国台湾地区#虽然关注但现在并不想看到视频待事件过后我们一起把酒言欢
4762,#大长图回顾英国女王的一生#英国女王伊丽莎白是一位传奇女性，和撒切尔夫人都是英勇的女性英雄
3272,#英国女王去世#我去，昨天晚上的时候还看新闻报道说伊丽莎白女王身体不好。孩子们都已经回来陪伴，这才几个小时，人没了。
8554,这才是台湾主流民意？！#台北民众高喊佩洛西滚回去#这热搜真的好尴尬L日本tui一生的微博视频
8182,#台媒称警方证实佩洛西班机22时降落#走狗台政府第一次希望飞机坠机婆婆一路走好都82岁了不行咱回去挑个好地方s呢？
3555,#英国女王去世#太子是个很矛盾的岗位。发布了头条文章：《伊丽莎白太能活了，让查尔斯情何以堪》O伊丽莎白太能活了，让查尔斯情何以堪
4732,【#伊丽莎白二世在位时间最长#】#伊丽莎白二世堪称英国当代史#当地时间9月8日，英国女王伊丽莎白二世去世，享年96岁。1953年，她在伦敦加冕，成为英国第二位“伊丽莎白女王”。在她长达数十年的统治期间，英国经历了“日不落帝国”解体、英阿马岛战争、战后复苏又衰落、英国脱欧、新冠疫情等风风雨雨，成为英国在位时间最长的君主，可以说，伊丽莎白二世的一生，就是一部英国当代史。
1531,打卡事件打卡，李易峰超话
6461,没有平时的刻苦的专业训练，说实话，我是肯定不敢在这样的情况下，自己一个人走过这个“独木桥”……9月5日下午，四川省泸定县发生了6.8级地震，受灾严重！第一时间，还是我们的消防、武警战士，冲锋在前！今天下午，消防、武警战士们，凭借勇气和专业实力，救出了不少被困群众！说真话，要抬着伤员，走过这个独木桥，应该是很高难度吧？！关键时刻，还是要靠天不怕地不怕、训练有素的消防、武警战士！这次地震，很多道路都被损毁，无法通行……山上时不时有大石头滚落下来，说实话，这个时候，冲进去灾区救灾，都是冒着生命危险的！冲进去的人，都是勇士，都是值得钦佩的！暂时，现在社会组织和志愿者，并不太方便进入灾区，因为道路狭窄，以及一些道路已经损坏，所以要尽可能优先让更专业的队伍尽快进入！我只能默默为已经进入灾区救灾的所有人祈福！为灾区的每一个人祈福！希望大家接下来全都平平安安！#光线摄影学院曾兰老师#
552,李易峰也许，时间真的永远定格在这一刻了，再也看不到他在线的消息了
6469,#四川绵竹上空疑现大量蝙蝠群#动物能感知人类听不到的次声波啊，地震发生前会有某种声波传出，让动物感到不安。
2718,#如何看待李易峰此前发声明#…绝了李易峰也塌了哈哈
4178,1947年4月21日，伊丽莎白的21岁生日，这是当天她坐在南非的纳塔尔国家公园，身后是德拉肯斯堡山脉。。。
1173,李易峰情绪宣泄的差不多了，那就再见吧，好好睡一觉，明天太阳还是照常升起
3665,生死一知己——美国，存亡两妇人——伊丽莎白一世，二世……英国气数已尽
3397,#王冠#不会再有下一个《王冠》也不会再有下一个伊丽莎白女王了（照目前的形势，英国接下来三代都是国王，如果王室能一直延续下去的话）
5322,#伊丽莎白女王去世#一个时代的落幕，临睡前见证了历史
6575,#四川1小时内连发7次地震#今夜都将死于神经衰弱
1905,我特么要是是李易峰粉丝估计现在已经被送去宛平南路了
4294,#英国女王去世#从小就是在新闻里一直听这个名字长大的小时候常在想为什么她可以一直出现在新闻里去哪里都会有人报到她出席了什么什么活动后面知道才英国是君主立宪伊丽莎白是女王希望这个以后只会出现在历史书上的人一路走好吧…见证历史的又一天
1648,一个坏消息和一个好消息。坏消息：《古剑奇谭》可能会因为李易峰而下架。好消息：《古剑奇谭》其实去年就因为郑爽下架了。#北京警方通报李易峰多次嫖娼#
7846,昨晚解放军没有伴飞驱离佩洛西专机可能是因为这个人，美国国防部长劳埃德·奥斯汀。从台湾媒体爆出来的图片可以认为美国国防部长是和佩洛西是一同抵达台湾的。昨天中午佩洛西专机抵达马来西亚时，有另外一架美呼号SPAR20的政府包机，从美斯科特空军基地起飞，经日本同时抵达马来西亚。我认为这架包机应该载乘的就是美国国防部长劳埃德·奥斯汀。有美国国防部长同行，那围绕台海的美国军力部署也一定是十分到位，解放军没有伴飞驱离可能更多的是军事冲突等级考量。奥斯汀曾是美国陆军四星黑人将军，在美国，总统是三军总司令，国防部长是仅次于总统的美军最高长官。#解放军将展开一系列针对性军事行动##外交部回应对美反制规模#
4628,之前见过一篇文章，说伊丽莎白女王的亲人、爱人、朋友一个个的都离她而去，刚才看报姐发的，菲利普去世后再也没人叫她Lilibet了，这种爱你的人都离去的感觉想想都难受
2324,#隐秘而伟大##李易峰#等你回家，谁能拒绝这样体贴的男孩子啊！！L吃遍鹏城的微博视频
3978,【#伊丽莎白二世在位时间最长#】#伊丽莎白二世堪称英国当代史#当地时间9月8日，英国女王伊丽莎白二世去世，享年96岁。1953年，她在伦敦加冕，成为英国第二位“伊丽莎白女王”。在她长达数十年的统治期间，英国经历了“日不落帝国”解体、英阿马岛战争、战后复苏又衰落、英国脱欧、新冠疫情等风风雨雨，成为英国在位时间最长的君主，可以说，伊丽莎白二世的一生，就是一部英国当代史。#英国女王去世#中国新闻网
625,#李易峰粉丝超话现状#感人啊啊啊啊啊啊啊啊啊本人我已经快被笑死了
2390,#如何看待李易峰此前发声明#和我没什么关系，改干活干活
1822,#李易峰超话#百里屠苏滤镜碎一地
4774,#英国女王去世#果然没熬过去啊那今天英国有两个坏消息了Queen伊丽莎白薨了卡米拉是你们的新Queen了爱尔兰有了两个好消息。
5442,【单日repo整理】伊丽莎白repo：O网页链接悲惨世界repo：O网页链接银河铁道之夜repo：O网页链接绽放repo：①O网页链接②O网页链接绽放返场：O网页链接我堂吉诃德repo：①O网页链接②O网页链接我堂吉诃德返场：O网页链接南唐后主返场：O网页链接灵魂摆渡永生repo：①O网页链接②O网页链接阿波罗尼亚repo：O网页链接阿波罗尼亚返场：O网页链接多剧repo：O网页链接青春禁忌游戏repo：O网页链接
663,李易峰一觉醒来昨天的事情好像都是一场梦真的好难过但凡你大方的公布恋情大家都会祝福你为什么啊为什么是pc八年啊手机里面全是你的照片密码都是你的生日我都还没有见到你真的好难过
7152,【四川生态环境系统全力开展震后环境风险隐患排查】#四川城市服务台#9月5日，甘孜州泸定县发生6.8级地震。地震发生后，生态环境厅迅速行动，开展地震环境应急调度，统筹部署，组织甘孜、雅安、乐山等地生态环境部门迅即进行饮用水水源地、城镇污水处理厂、重点企业等环境风险敏感点隐患排查。甘孜生态环境部门第一时间组织应急、监测和执法等力量开展环境风险隐患排查和应急处置工作。州、县生态环境部门强化应急监测，对辖区内饮用水水源地、城镇污水处理厂、加油站、垃圾填埋场、医院等辐射项目利用单位、重点风险源企业等开展拉网式排查。泸定生态环境局成立了震后应急处置领导小组，统一调度和指挥，各股室、站、队协同合作，全力开展应急监测工作。强化值班值守，严格执行应急值守和信息报告制度，建立生态环境部门与企业和部门之间的沟通联系机制，为生态环境应急工作提供实时信息和技术支持。(杨璐绮)
2869,我趣，怎么没人告诉我Maurice是be啊合着我连续三天看虐片呗9.9-模仿游戏9.10-社交网络9.11莫里斯我趣#都怪李易峰#?
7912,#外交部回应佩洛西窜访中国台湾地区#让子弹在飞会吧除了相信国家你还能做啥呢？用你的键盘去突突它？
6386,#四川地震#你们为什么一直在说....真的我到现在都还不敢睡，真的要把我这个广西人吓瓜了
5661,英前首相梅姨一分钟追忆伊丽莎白女王趣事#央视中秋晚会##央视中秋晚会节目单官宣#这种心态真的不错，欢笑好过哭哭凄凄L国学三把刷的微博视频
2122,李易峰顾耀东妈呀居然找到资源了！！！啊啊啊有没有一起来看的～～～
4789,#英国女王伊丽莎白二世逝世#又一次见证历史?又是一个时代人物的陨落~?美丽优雅的高贵时尚的女王陛下?和蔼可亲的伊丽莎白奶奶??一路走好！?
4140,英国伊丽莎白女王去世。必须说，这位女王给世人的印象好于她的子孙，也好于英国几乎一代不如一代的政府首相，她的离世代表了英国一个时代的终结。我不记得这位女王过去几十年有过什么让中国人很不高兴的言行。在她离世之际，我愿意对她的亡灵表达尊敬，并道安息。
989,#北京警方通报李易峰多次嫖娼#@北京警方这笔交易的最大受益者是谁？中国解放后不是没有妓女了吗？嫖哪里的娼？首都的？打脸！被嫖者受益，这么的帅哥拿钱交易，比那些肥头大耳的睡岂不高雅得多！有交易就有市场，取缔淫窝，演员到哪里去嫖娼？@嘉善老顾@西原秋微博@拆台CT@刑辩律师杜家迁@韩东言
7326,就知道阴阳怪气问然后呢然后呢。然后靠喷子们用嘴打呗，实在不行现在你直接一个闪现跃迁台湾海峡送狗上路呗。你的血性你的腰杆子是前线军人流血牺牲换来的，搁这叫嚣什么，又不是你自己打来的，你缩在安全区里，怎么有的底气喊打啊。佩洛西没给我整破防喷子们给我整无语了属于是。
4920,英剧《王冠》第六季因女王去世将停拍！编剧皮特·摩根说：“这部剧就是献给伊丽莎白二世的一封情书，我现在已经没有什么要补充的，只有沉默和尊重。我希望我们也会出于尊重停止拍摄。”据说，Netflix早已制定“如果伊丽莎白女王在拍摄期间去世”的长期计划。
6786,#泸定地震46人遇难#愿所有人安好，众志成城定能渡过难关！
6497,mood：确实把朋友的消息看的比地震还重要但不敢说
7074,#小周天天都有话要说#八月到九月我们在经历什么？高温限电疫情地震今天是小区被封控的第十二天中午地震的时候被吓到脑子嗡的失去判断力不知道该躲厕所还是钻桌子底下昨天看通知说有望7号解除交通管制然而今晚上对街小区就被拉走几千人集中隔离不知道说啥心情真的太复杂了…
6845,#地震#狗又在叫了，好害怕
4353,#伊丽莎白女王去世#是的，RIP
6338,来成都之后明天都在想地震什么时候发生，发生地震该怎么办太没有安全感了
2703,李易峰被抓是大数据的功劳？L林三俗微博的微博视频
2407,#北京警方通报李易峰多次嫖娼#我到现在都没敢接受，这一切都像是一场梦那样不真实，多希望这只是你饰演的一个角色呀！！！
151,@李易峰可是我真的很想听你的新歌，看你的《操场》，也想……听你一声道歉。
6195,#泸定地震46人遇难#（被喊起来做核酸ing瞄了一眼热搜居然46个人了，不要再增加了求求了再加就不礼貌了一定要好好的啊
7906,#外交部回应佩洛西窜访中国台湾地区#总有人说，怎么不伴飞或击落，拦截之类的话，首先美方航线选得好，留的空间不多，其次，美军会轻易让解放军伴飞或拦截么？那不是在揍美军的脸么?至于击落，唯有脑残才会有这个念头。
1094,cnm狗日的李易峰！！！！！！还我的快乐！！！
5614,伊丽莎白终于结束了自己的工作，我什么时候结束工作呢
3361,#英国女王去世#伊丽莎白女王官宣离开的时候白金汉宫门口出现了双彩虹?她跨过彩虹去了天堂#英国网友缅怀伊丽莎白二世#L耽于美色的微博视频
3856,妈呀伊丽莎白鼠居然又更新了
2577,#如何看待李易峰此前发声明#如何看待…就跟孩子犯错，犯了天大的错，大人都能给他摆平，??了事，时间久了，他就不知道了，不知道自己做了错事，天都戳了个窟窿了，以为可以补，补好了，所以他没错问题是，我感觉他知道自己完了，为什么还要发声明，整这一出，确定是自己发的吗？
7556,天要其灭亡，必令其猖狂。佩洛西访台，台独分子们更独了。
539,#李易峰粉丝超话现状#给粉丝一点时间消化情绪吧，毕竟是真情实感过的，这个事情对她们冲击很大，给他们一个宣泄情绪的空间，该想明白的会想明白的。何必苦苦相逼呢。李易峰的个人行为不应该上升群体。说句不好听的，李易峰的粉丝已经成了落井之人，我不赞成这时候再落井下石了
4523,新手机要发布了旧手机内存又告急了，前天晚上突然巨卡无比！今年的瑜伽可是上不完了，不过确实最近瘦了！昨天喝了三杯美式，昨夜可以说犹如没睡觉！直到伊丽莎白去世我才睡着！哎…抗疫什么时候结束啊！我真的很想出去看看了
598,#北京警方通报李易峰多次嫖娼#哎……水实在是太深了
4125,#英国女王去世#1947年，英王乔治六世的全家福，小女儿玛格丽特公主、国王乔治六世、伊丽莎白王后、女婿菲利普、大女儿兼继承人伊丽莎白公主。这下都带走了
5368,上了个学林yj塌房了伊丽莎白死了
4428,【为什么伊丽莎白二世的上一任是乔治六世，下一个又是查尔斯三世？】不同于中国“秦二世”的叫法，欧洲人不是在数这是本朝第几位国王，而是在数这是本国第几个叫这个名字的王。比如，刚刚去世的是英国第二个叫伊丽莎白的女王，所以中文翻译成“伊丽莎白二世”；他儿子查尔斯即位后，成为英国被送上断头台的国王查理一世（CharlesI）和他儿子（CharlesII）之后，第三个叫查尔斯的国王。（地球知识局）#英国女王去世##查尔斯成为英国国王#
7281,#中方谈佩洛西访台反制措施#最后将以“美方发布一个中国声明而收场”，undertable的我们就不知道了，也算是各取所需。我们收获了民心的统一。
6584,#泸定地震46人遇难#哎……
5492,最近很多关于英女王的文章，今早香香发出了灵魂拷问：妈妈，英国伊丽莎白女王怎么不戴伊丽莎白圈啊？
2529,#如何看待李易峰此前发声明#我深度的怀疑李易峰工作室并不知道李易峰会出这样的事情，除非那些人有点什么大病想要改变事实。世界上没有不透风的墙，既然不想让这样的事情让大家知道，最好的办法就是不要去做这种事情。尤其是公众人物更要以身作则，毕竟很多人会以你们为标杆……
901,#如何看待李易峰此前发声明#死鸭子嘴硬，不要脸，以为资本能摆平一切
2019,李易峰你还是我最，舍不得的曾经
8068,#台媒称警方证实佩洛西班机22时降落#真服了那些支持打仗的人都21世纪了还有人裹小脑我真服了
7408,#外交部回应佩洛西窜访中国台湾地区#听党指挥??
4633,塞尔维亚巴尔干假期旅社与您分享《老照片，老故事》伊丽莎白女王去世了，塞尔维亚媒体翻出了一张老照片。1972年10月，伊丽莎白访问南斯拉夫，成为首位访问社会主义国家的英国君主。铁托亲往机场接机，数千南斯拉夫民众夹道欢迎，在当年也算是轰动一时的新闻。
1288,#如何看待李易峰此前发声明#可以全部抓起来吗全都进去能不能肃清一下娱乐圈没放过一个好吗全部进去陪他吧
6129,#地震后泸定县城情况#【#泸定县城震后现场#】6.8级地震发生后，泸定县城内没有明显的房屋损毁，大部分居民和游客目前都在相对开阔的地方避险↓↓盼平安！#泸定县城居民有序避险#（央视新闻）L央视新闻的微博视频
3826,#纪念毛泽东同志逝世46周年#这一个热搜难得。今天一天，网络上不少人都在怀念伊丽莎白，还有人哭了。热搜上也有很多相关新闻。我们对伊丽莎白女王的去世表示哀悼，同时更加缅怀中国共产党、中国解放军、中华人民共和国的缔造者。
7573,#佩洛西#她此刻在台湾干嘛？有啥新动向吗？
3185,#北京警方通报李易峰多次嫖娼##李易峰多次嫖娼被行政拘留#昨天晚上还发长文怒斥别人造谣，打脸来得如此之快，真的要把我笑死L热血动漫道馆的微博视频
4133,【#多国政要就英国女王去世表态#】据天空新闻称，法国总统马克龙、加拿大总理特鲁多、比利时首相亚历山大·德克罗向英国女王的一生致敬。马克龙称，伊丽莎白二世是法国的朋友，一位善良的女王，给她的国家和历史留下了深刻的印象。特鲁多称，我们怀着最沉重的心情得知加拿大在位时间最长的君主伊丽莎白二世女王陛下去世的消息，她一直存在于我们的生活中——她对加拿大人的服务将永远是我们国家历史的重要组成部分。德克罗称，比利时向英国王室和英国人民表示哀悼。#英国女王去世##查尔斯成为英国国王#
8390,全国政协外事委员会关于美国国会众议长佩洛西窜访中国台湾地区的声明（全文）O网页链接
